Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    180.47     0.00       93     0.00     0.39  __modadvection_MOD_advection
  0.00    180.47     0.00       93     0.00     0.00  __modagscross_MOD_agscross
  0.00    180.47     0.00       93     0.00     0.03  __modbudget_MOD_budgetstat
  0.00    180.47     0.00       93     0.00     0.00  __modbulkmicrostat_MOD_bulkmicrostat
  0.00    180.47     0.00       93     0.00     0.00  __modcanopy_MOD_canopy
  0.00    180.47     0.00       93     0.00     0.00  __modcape_MOD_docape
  0.00    180.47     0.00       93     0.00     0.01  __modchecksim_MOD_checksim
  0.00    180.47     0.00       93     0.00     0.00  __modchem_MOD_twostep
  0.00    180.47     0.00       93     0.00     0.00  __modcloudfield_MOD_cloudfield
  0.00    180.47     0.00       93     0.00     0.00  __modcrosssection_MOD_crosssection
  0.00    180.47     0.00       93     0.00     0.00  __modfielddump_MOD_fielddump
  0.00    180.47     0.00       93     0.00     0.02  __modgenstat_MOD_genstat
  0.00    180.47     0.00       93     0.00     0.00  __modheterostats_MOD_heterostats
  0.00    180.47     0.00       93     0.00     0.00  __modlsmcrosssection_MOD_lsmcrosssection
  0.00    180.47     0.00       93     0.00     0.00  __modlsmstat_MOD_lsmstat
  0.00    180.47     0.00       93     0.00     0.00  __modmicrophysics_MOD_microsources
  0.00    180.47     0.00       93     0.00     0.00  __modnudge_MOD_nudge
  0.00    180.47     0.00       93     0.00     0.20  __modpois_MOD_poisson
  0.00    180.47     0.00       93     0.00     0.00  __modquadrant_MOD_quadrant
  0.00    180.47     0.00       93     0.00     0.00  __modradstat_MOD_radstat
  0.00    180.47     0.00       93     0.00     0.09  __modsampling_MOD_sampling
  0.00    180.47     0.00       93     0.00     0.00  __modsamptend_MOD_leibniztend
  0.00    180.47     0.00       93     0.00     0.00  __modstartup_MOD_writerestartfiles
  0.00    180.47     0.00       93     0.00     0.92  __modsubgrid_MOD_subgrid
  0.00    180.47     0.00       93     0.00     0.00  __modtestbed_MOD_testbednudge
  0.00    180.47     0.00       93     0.00     0.00  __modtimedep_MOD_timedep
  0.00    180.47     0.00       63     0.00     0.00  __modmpiinterface_MOD_d_mpi_bcast_int32_s
  0.00    180.47     0.00       31     0.00     0.00  __modchecksim_MOD_calcpeclet
  0.00    180.47     0.00       28     0.00     0.00  __modglobal_MOD_checknamelisterror
  0.00    180.47     0.00       25     0.00     0.00  __modmpiinterface_MOD_d_mpi_allreduce_int32_r1
  0.00    180.47     0.00       25     0.00     0.00  __modmpiinterface_MOD_d_mpi_bcast_real64_r1
  0.00    180.47     0.00       10     0.00     0.00  __modstat_nc_MOD_define_nc
  0.00    180.47     0.00        5     0.00     0.00  __modstat_nc_MOD_writestat_time_nc
  0.00    180.47     0.00        3     0.00     0.00  __modstat_nc_MOD_nctiminfo
  0.00    180.47     0.00        3     0.00     0.00  __modstat_nc_MOD_open_nc
  0.00    180.47     0.00        2     0.00     0.00  __fftnew_MOD_rffti
